Pct,Name,Address,City,Zip,Longitude,Latitude
275,Bethany United Methodist Church,10010 Anderson Mill Rd,Austin,78750,-97.7993050756,30.4475169267
172,Round Rock Presbyterian Church,4010 Sam Bass Rd,Round Rock,78681,-97.7403522325,30.535132834
254,Cedar Park Public Library,550 Discovery Blvd,Cedar Park,78613,-97.8236838695,30.5187641231
264,Pat Bryson Municipal Hall,201 N Brushy St,Leander,78641,-97.854570467,30.5792874883
150,Baca Sr Ctr,301 W Bagdad Ave,Round Rock,78664,-97.6814748539,30.5066120838
186,Lord of Life Lutheran Church,9700 Neenah Ave,Austin,78717,-97.7656937865,30.4883735436
162,Clairmont Retirement Comm,12463 Los Indios Trl,Austin,78729,-97.7617498765,30.438290391
145,JB & Hallie Jester Annex,1801 E Old Settlers Blvd,Round Rock,78664,-97.6603326953,30.5392544713
287,Highland Estates Indp Rrmt Living,1500 N Lakeline Blvd,Cedar Park,78613,-97.8531901491,30.5221156608
160,Brushy Creek Comm Ctr,16318 Great Oaks Dr,Round Rock,78681,-97.7351941656,30.4956262276
218,Anderson Mill Ltd Dist,11500 El Salido Pkwy,Austin,78750,-97.8177272744,30.4568300193
266,Cedar Park Randalls,1400 Cypress Creek Rd,Cedar Park,78613,-97.8300996059,30.4825557201
182,Hilton Garden Inn,2310 N IH 35,Round Rock,78681,-97.6941111044,30.5337833255
274,La Quinta Inn & Suites,10701 Lakeline Mall Dr,Austin,78717,-97.792605927,30.4751697781
253,Leander Church of Christ,300 Crystal Falls Parkway,Leander,78641,-97.8463901478,30.5562996199
152,Northwest Fellowship,13427 Pond Springs Rd,Austin,78729,-97.7852497366,30.4511935641
463,Round Rock Randalls,2051 Gattis School Rd,Round Rock,78664,-97.6545087756,30.4948260034
