Name,Address,City,Zipcode,Latitude,Longitude,Area of City,Type,Hours,EZVote Code,Election Code,Boss Code
Ben Hur Shrine Center,7811 Rockwood Lane,Austin,78757,30.358129,-97.738055,NC,EV,R,247,GR14,1
Carver Museum,1161 Angelina  Street,Austin,78702,30.26968,-97.72418,E,EV,V,339,GR14,2
"County Tax Office, Pflugerville",15822 Foothill Farms Loop,Pflugerville,78660,30.44886,-97.65221,NE,EV,R,346,GR14,3
Dan Ruiz Public Library,1600 Grove Boulevard,Austin,78741,30.229955,-97.707033,SE,EV,V,424,GR14,4
Delco Center,4601 Pecan Brook Dr.,Austin,78724,30.318025,-97.661204,E,EV,R,431,GR14,5
Fiesta Mart Central,3909 North IH 35,Austin,78722,30.29642,-97.71764,E,EV,R,602,GR14,6
Fiesta Mart Stassney,5510 South IH 35,Austin,78745,30.20035,-97.76433,S,EV,R,620,GR14,7
Gus Garcia Recreation Center,1201 East Rundberg Lane,Austin,78753,30.35258,-97.68208,NE,EV,V,718,GR14,8
Howson Branch Library,2500 Exposition Boulevard,Austin,78703,30.2982,-97.7676,C,EV,V,830,GR14,9
Parque Zaragoza Recreation Center,2608 Gonzales Street,Austin,78702,30.261746,-97.711565,E,EV,V,1670,GR14,14
Randalls Ben White and Manchaca,2025 West Ben White Boulevard,Austin,78704,30.229418,-97.790117,S,EV,R,1800,GR14,15
Randalls Brodie and Slaughter,9911 Brodie Lane,Austin,78748,30.184057,-97.847993,S,EV,R,1830,GR14,19
Randalls Flagship West Lake Hills,3300 Bee Cave Road,West Lake Hills,78746,30.275376,-97.798812,W,EV,R,1803,GR14,16
Randalls Research and Braker,10900-D Research Boulevard,Austin,78759,30.401991,-97.747132,NW,EV,R,1805,GR14,18
Randalls South Mopac and William Cannon,6600 South Mopac Expressway,Austin,78749,30.22278,-97.836277,SW,EV,R,1804,GR14,17
Randalls Steiner Ranch,5145 RM 620 North,Austin,78732,30.389683,-97.885008,NW,EV,R,1847,GR14,20
St. Edwards University,3001 South Congress Ave.,Austin,78704,30.229334,-97.756401,S,EV,V,1957,GR14,21
Travis County Airport Blvd Offices,5501 Airport Boulevard,Austin,78751,30.316062,-97.713196,C,EV,R,2035,GR14,22
